"se_MLE_beta1" "se_MLE_beta2" "se_MLE_gama1" "se_MLE_lambda1"
0.0457524022085729 0.099762463173501 0.109937772836176 0.825931772967498
0.0563031247113673 0.105665302325829 0.115198660847392 0.458381426807933
0.0424790492744691 0.0961063544057825 0.0974629633665258 0.784944096607761
0.0541232366081637 0.113023943273561 0.102719525906144 0.628365416324251
0.0518043264506697 0.112548662691068 0.109158829284094 0.790011908371211
0.046061027572561 0.0973508862850994 0.120665271927451 0.830827410798124
0.0504343675926273 0.103561569575994 0.106335258341252 0.561978671380574
0.040560108519358 0.0913223970542862 0.115507750862863 1.14361786336548
0.0556848944790206 0.113423668123082 0.107356880601438 0.538760349000903
0.0525470585500664 0.104010899330394 0.113649005444647 0.508547131621289
0.0603816176180525 0.111649680251049 0.114685660484159 0.45017697776082
0.0585641314265726 0.123178538706253 0.0972827126537964 0.502866836305162
0.0588463317699913 0.111027780710817 0.113764483706303 0.453473527654836
0.0422840977039389 0.0929643046000159 0.113958333063386 1.02267975951482
0.0470598776619159 0.102529185843601 0.10579396691527 0.868543151805843
0.048304345801668 0.118927634928901 0.0992580182595517 2.14627377937825
0.0508978048303052 0.111023495676747 0.0988714291090265 0.643103949340557
0.0583934755954951 0.114957122396025 0.113190240286683 0.505189074860077
0.0520257335557122 0.108710842516881 0.0994065141073515 0.463820308739937
0.0477192639302578 0.103204837456413 0.101818622086755 0.619763452076066
0.0476403143921231 0.107352270624616 0.0922827640057904 0.812020036299953
0.0558087595775649 0.0997555196412467 0.114323867085642 0.436223624436012
0.0551241866862355 0.108267240385394 0.111639969825196 0.497432810025724
0.0389469442710309 0.0964360854604223 0.102536315959503 3.68904696781062
0.0576432765631446 0.104361260459328 0.121569506627801 0.477383166921349
0.0469994828859085 0.0955716774046532 0.105667373963438 0.504514981170119
0.056827211914099 0.114507590874747 0.108527337326291 0.505534657640398
0.0499141745605306 0.108255293296979 0.104464156534595 0.808288634835952
0.0500548957166498 0.109091250463102 0.10262298698208 0.694112972416565
0.0506078265854053 0.108634912102975 0.108803605747475 0.674338701701252
0.0533831132341867 0.111722081552952 0.109119899615826 0.552350363658921
0.0498357776732074 0.100084607768343 0.125298834806536 0.672777483959368
0.0485469609986909 0.0971641902018124 0.121656956315314 0.675943018086333
0.0533260165128903 0.103946335069366 0.120573490132532 0.560679373152167
0.0533813385364108 0.116361644937402 0.102336607562466 0.689276014198875
0.0493946509211269 0.104321951171515 0.110320207483746 0.687919952786394
0.0559830979441194 0.109946957553605 0.115587321102773 0.493717426136688
0.0515199900929584 0.107664205274243 0.105302216663767 0.531157742226152
0.0554624412830238 0.110298231255318 0.112488500752861 0.446804349248665
0.0521285176570504 0.111186630475619 0.103532875435723 0.53653381230327
0.0535828516196727 0.107279212380003 0.121045790856837 0.758283008678109
0.0536064501889368 0.111522998529206 0.103704776354588 0.530620539514275
0.0535491141088247 0.110017712507766 0.113496042207399 0.554513602264604
0.0489493021398053 0.09505984929657 0.111213995863535 0.459862463924741
0.0410510868466614 0.0889208548167888 0.109916333588527 0.684943966455229
0.0515020527047721 0.109831237387744 0.100815222468646 0.513538846765086
0.053544166933133 0.106880373496316 0.103711904584699 0.419195027463786
0.0608136037500752 0.120209940885357 0.107805748074824 0.550548097694522
0.0504720666259569 0.107499870145527 0.108944815102081 0.569261664216058
0.049675223491686 0.097465723729461 0.118757552091348 0.522418369354601
0.048762303596645 0.104988332431342 0.106281818827265 0.766404842643868
0.0459702233416443 0.100128149698619 0.126449195468893 1.29314404426125
0.0502638706817174 0.100460886927211 0.110275380233692 0.44960977774285
0.0484835973787012 0.113147540228463 0.0952953674162133 0.955894445638051
0.0533330116093772 0.109374309101011 0.106828925872398 0.538751623144522
0.0519155845304755 0.0991246301953735 0.124805356654797 0.562231797936933
0.0542797354181308 0.112702445584296 0.106173885436771 0.539683541950875
0.0437117860733967 0.102226613035076 0.102964143405523 6.17440121091284
0.0522384373988009 0.114189691616928 0.0960501976078024 0.860498547555016
0.0645920919256092 0.119312479145153 0.113900558845313 0.47971148203358
0.0552700991911037 0.116350384686484 0.108447376357086 0.632560657411291
0.0607465167837214 0.119076332415152 0.0989416451644716 0.399302920250408
0.0446111766896192 0.100058025753017 0.102408933550336 0.984387857875104
0.0461690137045546 0.102234696723267 0.109631965635934 1.26120809014611
0.0464329586574871 0.0929546876264527 0.13207091761493 0.674418879628347
0.046535599352084 0.104560539019596 0.0931223853900331 0.775547352910451
0.0582581700002836 0.118084034186198 0.112317835248485 0.499372468099325
0.0486963588713518 0.0960496166560893 0.109866308571341 0.447212526707159
0.047077897177923 0.0996605439773269 0.0963431197854234 0.550502759975073
0.0499437216753151 0.100522430647899 0.115795150816816 0.541164320192225
0.0422313433897278 0.10084092810683 0.0994474873207257 1.11191404831028
0.045399526711388 0.098215082120524 0.104961349125144 0.700377982129038
0.0547128232324936 0.110416582179883 0.108374841279176 0.51931791159439
0.0490156390427805 0.103613003132016 0.106657666239115 0.537650426379552
0.0458367445436718 0.100596251918112 0.11359097583377 0.821914045615615
0.0608089654927515 0.119101161875785 0.10958784636762 0.474251442709907
0.048284818312169 0.0991481020584539 0.110588964960902 0.617724799297946
0.0552846006257834 0.113335184210417 0.106848248207064 0.529539638866133
0.0582144246469534 0.123345199742312 0.104199023390756 0.62463935896065
0.0477373156513876 0.0945604097288322 0.116455088592802 0.548373538428593
0.0626418954180658 0.119052972167331 0.102174900412311 0.383570318951412
0.0500299972106332 0.103778701535002 0.0990461893852281 0.466650582776796
0.0515303982332455 0.115922248249389 0.0916729928937622 0.768561880588225
0.0496249613322348 0.104592310842916 0.11080303308881 0.746939929276655
0.0448240434552634 0.0933412866843067 0.11135522262807 0.605815185762456
0.0515811666763285 0.101317590881909 0.11355959189911 0.485031905792237
0.0608772931694121 0.112801824975028 0.111694244900053 0.422207212002905
0.0515472824217264 0.11101351139844 0.10586752069704 0.642242624108679
0.0620533231730108 0.12461499485615 0.107266876159578 0.461180543129699
0.0561313794646104 0.116551482970695 0.107277069409408 0.574706556837097
0.0454216458044423 0.104098815538425 0.099359939533846 1.39405535583649
0.050100402500012 0.108799390050518 0.108293508166915 0.733158109401477
0.0512488306575013 0.0979621430144407 0.117829832774271 0.49219175468465
0.0454738329727823 0.0998608099781915 0.104947984028486 1.0198968429204
0.0498901885902804 0.106117727634506 0.114037359163346 0.559138002626194
0.0475817607097439 0.104015714457344 0.102771591949949 0.755975486132502
0.0511688815220445 0.100775208127214 0.121187592031385 0.517942347789164
0.0565176646549865 0.120721163428751 0.106343205100261 0.822963584072945
0.0488367455594001 0.10361711630379 0.112027092179001 0.67638078333232
0.0512171893053075 0.098904889985598 0.115836458504328 0.489350823644209
0.0499721899161405 0.101258582348303 0.110954766280236 0.561453052301002
0.0539493441918622 0.107985316453531 0.113927803699007 0.574604101184271
0.0514564584271875 0.113519332063081 0.101688250883829 0.562535914694505
0.050874459045574 0.101255853660924 0.122354440121666 0.671207117305131
0.0500288522717609 0.109549640032713 0.112905176564681 1.28011990127336
0.0456587750201326 0.0972934693874307 0.106437370189528 0.562429371486067
0.0581308343319872 0.125872163766738 0.0939131691446162 0.52213239048784
0.049366417432298 0.109336972108989 0.0987447499775424 1.01026704322166
0.0554286241433733 0.119365063888576 0.09717674574698 0.620093054822229
0.0565674182331455 0.118270758790786 0.115472295049199 1.09601143477369
0.0492989591972896 0.107024615055481 0.102146579603055 0.61985711587559
0.0481419290272636 0.100964784026247 0.115276530957219 0.781144539686626
0.0504558506771128 0.106297298025248 0.124914034123174 0.783297255887805
0.0400527048553901 0.0881998714464122 0.103581527565781 0.740674511783487
0.0558250217760165 0.111931771861258 0.108647453267292 0.474995046931656
0.0483484204929463 0.104703137534275 0.110653052633553 0.980314315467205
0.0634088196393628 0.108534195488506 0.128633846736496 0.48081758724553
0.0502150559144971 0.105428187425637 0.112712536562684 0.558020282983975
0.0517319092467404 0.113506326659945 0.111460637208145 0.574155516422888
0.0542484755159931 0.0996008516921043 0.120901667497292 0.471244500079142
0.0452733305526004 0.0944104491412229 0.112939694752572 0.732400659351256
0.0459953664707606 0.103938616025428 0.107230684431773 0.811710122850273
